.HEADER
..NAMES
Time,V U1.U3
.DATA
2.23131e-08,1.2055
2.23363e-08,1.1963
2.23596e-08,1.1514
2.23829e-08,1.0574
2.24061e-08,0.8873
2.24294e-08,0.7454
2.24527e-08,0.6509
2.24759e-08,0.5886
2.24992e-08,0.5526
2.25225e-08,0.5330
2.25457e-08,0.5237
2.25690e-08,0.5196
2.25923e-08,0.5175
2.26155e-08,0.5151
2.26388e-08,0.5120
2.26621e-08,0.5085
2.26853e-08,0.5049
2.27086e-08,0.5020
2.27319e-08,0.5012
2.27551e-08,0.5024
2.27784e-08,0.5051
2.28017e-08,0.5078
2.28249e-08,0.5110
2.28482e-08,0.5148
2.28715e-08,0.5125
2.28947e-08,0.4958
2.29180e-08,0.4619
2.29413e-08,0.4109
2.29645e-08,0.3460
2.29878e-08,0.2921
2.30111e-08,0.2962
2.30343e-08,0.3945
2.30576e-08,0.4943
2.30809e-08,0.5556
2.31041e-08,0.5930
2.31274e-08,0.6103
2.31507e-08,0.6108
2.31739e-08,0.6067
2.31972e-08,0.6010
2.32205e-08,0.5952
2.32437e-08,0.5896
2.32670e-08,0.5857
2.32903e-08,0.5826
2.33135e-08,0.5786
2.33368e-08,0.5725
2.33601e-08,0.5633
2.33833e-08,0.5531
2.34066e-08,0.5465
2.34299e-08,0.5488
2.34531e-08,0.5611
2.34764e-08,0.5814
2.34997e-08,0.6122
2.35229e-08,0.6558
2.35462e-08,0.7112
2.35695e-08,0.7770
2.35927e-08,0.8517
2.36160e-08,0.9289
2.36393e-08,1.0016
2.36625e-08,1.0643
2.36858e-08,1.1144
2.37091e-08,1.1522
2.37323e-08,1.1804
2.37556e-08,1.2010
2.37789e-08,1.2154
2.38021e-08,1.2247
2.38254e-08,1.2313
2.38487e-08,1.2383
2.38719e-08,1.2468
2.38952e-08,1.2551
2.39185e-08,1.2612
2.39417e-08,1.2642
2.39650e-08,1.2637
2.39883e-08,1.2593
2.40115e-08,1.2519
2.40348e-08,1.2422
2.40581e-08,1.2296
2.40813e-08,1.2132
2.41046e-08,1.1938
2.41279e-08,1.1731
2.41511e-08,1.1544
2.41744e-08,1.1409
2.41977e-08,1.1342
2.42209e-08,1.1333
2.42442e-08,1.1366
2.42675e-08,1.1429
2.42907e-08,1.1511
2.43140e-08,1.1597
2.43373e-08,1.1671
2.43605e-08,1.1723
2.43838e-08,1.1751
2.44071e-08,1.1757
2.44303e-08,1.1752
2.44536e-08,1.1751
2.44769e-08,1.1767
2.45002e-08,1.1799
2.45234e-08,1.1841
