.HEADER
..NAMES
Time,V U2.R3
.DATA
1.94279e-08,1.0776
1.94512e-08,1.0601
1.94745e-08,1.0527
1.94977e-08,1.0560
1.95210e-08,1.0690
1.95443e-08,1.0902
1.95675e-08,1.1167
1.95908e-08,1.1429
1.96141e-08,1.1602
1.96373e-08,1.1649
1.96606e-08,1.1626
1.96839e-08,1.1613
1.97071e-08,1.1640
1.97304e-08,1.1677
1.97537e-08,1.1693
1.97769e-08,1.1699
1.98002e-08,1.1743
1.98235e-08,1.1841
1.98468e-08,1.1984
1.98700e-08,1.2161
1.98933e-08,1.2353
1.99166e-08,1.2519
1.99398e-08,1.2625
1.99631e-08,1.2655
1.99864e-08,1.2615
2.00096e-08,1.2527
2.00329e-08,1.2423
2.00562e-08,1.2315
2.00794e-08,1.2190
2.01027e-08,1.2045
2.01260e-08,1.1910
2.01492e-08,1.1834
2.01725e-08,1.1838
2.01958e-08,1.1897
2.02190e-08,1.1970
2.02423e-08,1.2026
2.02656e-08,1.2056
2.02888e-08,1.2061
2.03121e-08,1.2046
2.03354e-08,1.2015
2.03586e-08,1.1976
2.03819e-08,1.1933
2.04052e-08,1.1879
2.04284e-08,1.1816
2.04517e-08,1.1755
2.04750e-08,1.1719
2.04982e-08,1.1729
2.05215e-08,1.1788
2.05448e-08,1.1875
2.05680e-08,1.1958
2.05913e-08,1.2023
2.06146e-08,1.2075
2.06378e-08,1.2120
2.06611e-08,1.2155
2.06844e-08,1.2165
2.07076e-08,1.2145
2.07309e-08,1.2099
2.07542e-08,1.2040
2.07774e-08,1.1984
2.08007e-08,1.1947
2.08240e-08,1.1938
2.08472e-08,1.1957
2.08705e-08,1.1994
2.08938e-08,1.2031
2.09170e-08,1.2057
2.09403e-08,1.2073
2.09636e-08,1.2086
2.09868e-08,1.2102
2.10101e-08,1.2112
2.10334e-08,1.2103
2.10566e-08,1.2071
2.10799e-08,1.2022
2.11032e-08,1.1972
2.11264e-08,1.1936
2.11497e-08,1.1915
2.11730e-08,1.1889
2.11962e-08,1.1733
2.12195e-08,1.1284
2.12428e-08,1.0308
2.12660e-08,0.9005
2.12893e-08,0.7797
2.13126e-08,0.6588
2.13358e-08,0.5141
2.13591e-08,0.3609
2.13824e-08,0.2231
2.14056e-08,0.1016
2.14289e-08,0.0033
2.14522e-08,-0.0638
2.14754e-08,-0.1050
2.14987e-08,-0.1267
2.15220e-08,-0.1385
2.15452e-08,-0.1476
2.15685e-08,-0.1584
2.15918e-08,-0.1740
2.16150e-08,-0.1877
2.16383e-08,-0.1914
2.16616e-08,-0.1889
2.16848e-08,-0.1887
2.17081e-08,-0.1944
2.17314e-08,-0.1983
2.17546e-08,-0.1851
2.17779e-08,-0.1492
2.18012e-08,-0.1030
2.18244e-08,-0.0566
2.18477e-08,-0.0088
2.18710e-08,0.0371
2.18942e-08,0.0745
2.19175e-08,0.1035
2.19408e-08,0.1244
2.19640e-08,0.1352
2.19873e-08,0.1355
2.20106e-08,0.1257
2.20338e-08,0.1108
2.20571e-08,0.1064
2.20804e-08,0.1432
2.21037e-08,0.2353
2.21269e-08,0.3494
2.21502e-08,0.4611
2.21735e-08,0.5840
2.21967e-08,0.7195
2.22200e-08,0.8498
2.22433e-08,0.9685
2.22665e-08,1.0717
2.22898e-08,1.1469
2.23131e-08,1.1906
2.23363e-08,1.2100
2.23596e-08,1.2126
2.23829e-08,1.2078
2.24061e-08,1.2055
2.24294e-08,1.2141
2.24527e-08,1.2336
2.24759e-08,1.2544
2.24992e-08,1.2697
2.25225e-08,1.2821
2.25457e-08,1.2982
2.25690e-08,1.3193
2.25923e-08,1.3335
2.26155e-08,1.3262
2.26388e-08,1.2967
2.26621e-08,1.2555
2.26853e-08,1.2087
2.27086e-08,1.1610
2.27319e-08,1.1212
2.27551e-08,1.0929
2.27784e-08,1.0750
2.28017e-08,1.0676
2.28249e-08,1.0707
2.28482e-08,1.0826
2.28715e-08,1.1025
2.28947e-08,1.1293
2.29180e-08,1.1587
2.29413e-08,1.1815
2.29645e-08,1.1901
2.29878e-08,1.1856
2.30111e-08,1.1761
2.30343e-08,1.1684
2.30576e-08,1.1641
2.30809e-08,1.1611
2.31041e-08,1.1583
2.31274e-08,1.1586
2.31507e-08,1.1650
2.31739e-08,1.1779
2.31972e-08,1.1966
2.32205e-08,1.2196
2.32437e-08,1.2422
2.32670e-08,1.2590
2.32903e-08,1.2667
2.33135e-08,1.2644
2.33368e-08,1.2544
2.33601e-08,1.2412
2.33833e-08,1.2283
2.34066e-08,1.2159
2.34299e-08,1.2026
2.34531e-08,1.1890
2.34764e-08,1.1794
2.34997e-08,1.1773
2.35229e-08,1.1830
2.35462e-08,1.1931
2.35695e-08,1.2035
2.35927e-08,1.2113
2.36160e-08,1.2151
2.36393e-08,1.2150
2.36625e-08,1.2116
2.36858e-08,1.2064
2.37091e-08,1.2002
2.37323e-08,1.1932
2.37556e-08,1.1851
2.37789e-08,1.1767
2.38021e-08,1.1701
2.38254e-08,1.1682
2.38487e-08,1.1727
2.38719e-08,1.1823
2.38952e-08,1.1936
2.39185e-08,1.2031
2.39417e-08,1.2097
2.39650e-08,1.2142
2.39883e-08,1.2169
2.40115e-08,1.2176
2.40348e-08,1.2159
2.40581e-08,1.2115
2.40813e-08,1.2051
2.41046e-08,1.1981
2.41279e-08,1.1923
2.41511e-08,1.1893
2.41744e-08,1.1901
2.41977e-08,1.1940
