.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
2.02190e-08,0.6752
2.02423e-08,0.6753
2.02656e-08,0.6831
2.02888e-08,0.6941
2.03121e-08,0.6965
2.03354e-08,0.6835
2.03586e-08,0.6479
2.03819e-08,0.5629
2.04052e-08,0.4118
2.04284e-08,0.2169
2.04517e-08,0.0252
2.04750e-08,-0.1262
2.04982e-08,-0.2432
2.05215e-08,-0.3513
2.05448e-08,-0.4662
2.05680e-08,-0.5705
2.05913e-08,-0.6418
2.06146e-08,-0.6721
2.06378e-08,-0.6751
2.06611e-08,-0.6742
2.06844e-08,-0.6819
2.07076e-08,-0.6928
2.07309e-08,-0.6947
2.07542e-08,-0.6806
2.07774e-08,-0.6416
2.08007e-08,-0.5499
2.08240e-08,-0.3930
2.08472e-08,-0.1961
2.08705e-08,-0.0070
2.08938e-08,0.1409
2.09170e-08,0.2564
2.09403e-08,0.3656
2.09636e-08,0.4806
2.09868e-08,0.5813
2.10101e-08,0.6469
2.10334e-08,0.6728
2.10566e-08,0.6750
2.10799e-08,0.6761
2.11032e-08,0.6854
2.11264e-08,0.6955
2.11497e-08,0.6953
2.11730e-08,0.6788
2.11962e-08,0.6361
2.12195e-08,0.5380
2.12428e-08,0.3756
2.12660e-08,0.1772
2.12893e-08,-0.0083
2.13126e-08,-0.1516
2.13358e-08,-0.2645
2.13591e-08,-0.3737
2.13824e-08,-0.4885
2.14056e-08,-0.5878
2.14289e-08,-0.6510
2.14522e-08,-0.6742
2.14754e-08,-0.6747
2.14987e-08,-0.6750
2.15220e-08,-0.6842
2.15452e-08,-0.6941
2.15685e-08,-0.6934
2.15918e-08,-0.6755
2.16150e-08,-0.6287
2.16383e-08,-0.5237
2.16616e-08,-0.3559
2.16848e-08,-0.1565
2.17081e-08,0.0258
2.17314e-08,0.1657
2.17546e-08,0.2778
2.17779e-08,0.3882
2.18012e-08,0.5024
2.18244e-08,0.5975
2.18477e-08,0.6551
2.18710e-08,0.6744
2.18942e-08,0.6749
2.19175e-08,0.6773
2.19408e-08,0.6877
2.19640e-08,0.6965
2.19873e-08,0.6935
2.20106e-08,0.6732
2.20338e-08,0.6221
2.20571e-08,0.5105
2.20804e-08,0.3378
2.21037e-08,0.1379
2.21269e-08,-0.0401
2.21502e-08,-0.1757
2.21735e-08,-0.2857
2.21967e-08,-0.3964
2.22200e-08,-0.5101
2.22433e-08,-0.6035
2.22665e-08,-0.6585
2.22898e-08,-0.6754
2.23131e-08,-0.6743
2.23363e-08,-0.6762
2.23596e-08,-0.6865
2.23829e-08,-0.6951
2.24061e-08,-0.6913
2.24294e-08,-0.6693
2.24527e-08,-0.6133
2.24759e-08,-0.4950
2.24992e-08,-0.3176
2.25225e-08,-0.1176
2.25457e-08,0.0568
2.25690e-08,0.1894
2.25923e-08,0.2991
2.26155e-08,0.4111
2.26388e-08,0.5235
2.26621e-08,0.6122
2.26853e-08,0.6616
2.27086e-08,0.6753
2.27319e-08,0.6748
2.27551e-08,0.6789
2.27784e-08,0.6900
2.28017e-08,0.6971
2.28249e-08,0.6910
2.28482e-08,0.6664
2.28715e-08,0.6055
2.28947e-08,0.4806
2.29180e-08,0.2990
2.29413e-08,0.0996
2.29645e-08,-0.0701
2.29878e-08,-0.1987
2.30111e-08,-0.3070
2.30343e-08,-0.4193
2.30576e-08,-0.5309
2.30809e-08,-0.6178
2.31041e-08,-0.6645
2.31274e-08,-0.6759
2.31507e-08,-0.6740
2.31739e-08,-0.6777
2.31972e-08,-0.6887
2.32205e-08,-0.6956
2.32437e-08,-0.6887
2.32670e-08,-0.6620
2.32903e-08,-0.5954
2.33135e-08,-0.4640
2.33368e-08,-0.2785
2.33601e-08,-0.0800
2.33833e-08,0.0860
2.34066e-08,0.2121
2.34299e-08,0.3206
2.34531e-08,0.4339
2.34764e-08,0.5436
2.34997e-08,0.6253
2.35229e-08,0.6667
2.35462e-08,0.6757
2.35695e-08,0.6750
2.35927e-08,0.6808
2.36160e-08,0.6921
2.36393e-08,0.6971
2.36625e-08,0.6878
2.36858e-08,0.6584
2.37091e-08,0.5863
2.37323e-08,0.4486
2.37556e-08,0.2596
2.37789e-08,0.0628
