.HEADER
..NAMES
Time,V U2.D3
.DATA
2.34066e-08,0.0588
2.34299e-08,-0.0166
2.34531e-08,-0.0606
2.34764e-08,-0.0845
2.34997e-08,-0.1074
2.35229e-08,-0.1341
2.35462e-08,-0.1575
2.35695e-08,-0.1752
2.35927e-08,-0.1925
2.36160e-08,-0.2135
2.36393e-08,-0.2360
2.36625e-08,-0.2540
2.36858e-08,-0.2622
2.37091e-08,-0.2548
2.37323e-08,-0.2304
2.37556e-08,-0.1969
2.37789e-08,-0.1588
2.38021e-08,-0.1086
2.38254e-08,-0.0340
2.38487e-08,0.0818
2.38719e-08,0.2271
2.38952e-08,0.3542
2.39185e-08,0.4623
2.39417e-08,0.5897
2.39650e-08,0.7235
2.39883e-08,0.8374
2.40115e-08,0.9398
2.40348e-08,1.0432
2.40581e-08,1.1322
2.40813e-08,1.1901
2.41046e-08,1.2225
2.41279e-08,1.2487
2.41511e-08,1.2779
2.41744e-08,1.3052
2.41977e-08,1.3219
2.42209e-08,1.3283
2.42442e-08,1.3323
2.42675e-08,1.3380
2.42907e-08,1.3441
2.43140e-08,1.3489
