.HEADER
..NAMES
Time,V U2.B8
.DATA
9.3460e-09,0.6567
9.3556e-09,0.6398
9.3653e-09,0.6172
9.3749e-09,0.5904
9.3846e-09,0.5617
9.3942e-09,0.5348
9.4039e-09,0.5147
9.4135e-09,0.5046
9.4232e-09,0.5055
9.4328e-09,0.5171
9.4425e-09,0.5374
9.4521e-09,0.5633
9.4617e-09,0.5919
9.4714e-09,0.6219
9.4810e-09,0.6529
9.4907e-09,0.6849
9.5003e-09,0.7179
9.5100e-09,0.7505
9.5196e-09,0.7808
9.5293e-09,0.8084
9.5389e-09,0.8340
9.5486e-09,0.8585
9.5582e-09,0.8829
9.5678e-09,0.9075
9.5775e-09,0.9322
9.5871e-09,0.9570
9.5968e-09,0.9815
9.6064e-09,1.0054
9.6161e-09,1.0285
9.6257e-09,1.0504
9.6354e-09,1.0705
9.6450e-09,1.0881
9.6546e-09,1.1029
9.6643e-09,1.1147
9.6739e-09,1.1235
9.6836e-09,1.1296
9.6932e-09,1.1340
9.7029e-09,1.1379
9.7125e-09,1.1424
9.7222e-09,1.1487
9.7318e-09,1.1572
9.7415e-09,1.1676
9.7511e-09,1.1793
9.7607e-09,1.1911
9.7704e-09,1.2013
9.7800e-09,1.2087
9.7897e-09,1.2126
9.7993e-09,1.2128
9.8090e-09,1.2099
9.8186e-09,1.2049
9.8283e-09,1.1989
9.8379e-09,1.1932
9.8475e-09,1.1896
9.8572e-09,1.1892
9.8668e-09,1.1925
9.8765e-09,1.1988
9.8861e-09,1.2069
9.8958e-09,1.2155
9.9054e-09,1.2238
9.9151e-09,1.2316
9.9247e-09,1.2385
9.9344e-09,1.2443
9.9440e-09,1.2484
9.9536e-09,1.2500
9.9633e-09,1.2485
9.9729e-09,1.2439
9.9826e-09,1.2367
9.9922e-09,1.2280
1.00019e-08,1.2190
1.00115e-08,1.2104
1.00212e-08,1.2027
1.00308e-08,1.1960
1.00404e-08,1.1904
1.00501e-08,1.1864
1.00597e-08,1.1840
1.00694e-08,1.1834
1.00790e-08,1.1838
1.00887e-08,1.1844
1.00983e-08,1.1845
1.01080e-08,1.1834
1.01176e-08,1.1810
1.01273e-08,1.1775
