.HEADER
..NAMES
Time,V U1.F1
.DATA
2.35927e-08,0.1216
2.36160e-08,0.0709
2.36393e-08,0.0318
2.36625e-08,0.0020
2.36858e-08,-0.0180
2.37091e-08,-0.0286
2.37323e-08,-0.0335
2.37556e-08,-0.0366
2.37789e-08,-0.0384
2.38021e-08,-0.0382
2.38254e-08,-0.0377
2.38487e-08,-0.0399
2.38719e-08,-0.0450
2.38952e-08,-0.0516
2.39185e-08,-0.0584
2.39417e-08,-0.0656
2.39650e-08,-0.0716
2.39883e-08,-0.0731
2.40115e-08,-0.0680
2.40348e-08,-0.0568
2.40581e-08,-0.0404
2.40813e-08,-0.0200
2.41046e-08,0.0031
2.41279e-08,0.0414
2.41511e-08,0.1165
2.41744e-08,0.2811
2.41977e-08,0.4368
2.42209e-08,0.5489
2.42442e-08,0.6274
2.42675e-08,0.6692
2.42907e-08,0.6797
2.43140e-08,0.6725
2.43373e-08,0.6635
2.43605e-08,0.6555
2.43838e-08,0.6455
2.44071e-08,0.6398
2.44303e-08,0.6435
2.44536e-08,0.6537
2.44769e-08,0.6635
2.45002e-08,0.6715
2.45234e-08,0.6599
2.45467e-08,0.6210
2.45700e-08,0.4820
2.45932e-08,0.3109
