.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
2.04052e-08,-0.6386
2.04284e-08,-0.6440
2.04517e-08,-0.6566
2.04750e-08,-0.6739
2.04982e-08,-0.6899
2.05215e-08,-0.6974
2.05448e-08,-0.6927
2.05680e-08,-0.6524
2.05913e-08,-0.5472
2.06146e-08,-0.2499
2.06378e-08,0.1015
2.06611e-08,0.3517
2.06844e-08,0.5254
2.07076e-08,0.6280
2.07309e-08,0.6616
2.07542e-08,0.6543
2.07774e-08,0.6435
2.08007e-08,0.6384
2.08240e-08,0.6381
2.08472e-08,0.6421
2.08705e-08,0.6547
2.08938e-08,0.6746
2.09170e-08,0.6922
2.09403e-08,0.6983
2.09636e-08,0.6914
2.09868e-08,0.6456
2.10101e-08,0.5350
2.10334e-08,0.2128
2.10566e-08,-0.1316
2.10799e-08,-0.3701
2.11032e-08,-0.5368
2.11264e-08,-0.6309
2.11497e-08,-0.6604
2.11730e-08,-0.6554
2.11962e-08,-0.6451
2.12195e-08,-0.6390
2.12428e-08,-0.6392
2.12660e-08,-0.6459
2.12893e-08,-0.6597
2.13126e-08,-0.6773
2.13358e-08,-0.6922
2.13591e-08,-0.6974
2.13824e-08,-0.6898
2.14056e-08,-0.6382
2.14289e-08,-0.5193
2.14522e-08,-0.1737
2.14754e-08,0.1590
2.14987e-08,0.3894
2.15220e-08,0.5542
2.15452e-08,0.6394
2.15685e-08,0.6615
2.15918e-08,0.6518
2.16150e-08,0.6420
2.16383e-08,0.6382
2.16616e-08,0.6385
2.16848e-08,0.6437
2.17081e-08,0.6582
2.17314e-08,0.6785
2.17546e-08,0.6945
2.17779e-08,0.6979
2.18012e-08,0.6861
2.18244e-08,0.6313
2.18477e-08,0.4935
2.18710e-08,0.1387
2.18942e-08,-0.1832
2.19175e-08,-0.4124
2.19408e-08,-0.5629
2.19640e-08,-0.6405
2.19873e-08,-0.6616
2.20106e-08,-0.6534
2.20338e-08,-0.6436
2.20571e-08,-0.6386
2.20804e-08,-0.6400
2.21037e-08,-0.6481
2.21269e-08,-0.6631
2.21502e-08,-0.6807
2.21735e-08,-0.6941
2.21967e-08,-0.6970
2.22200e-08,-0.6832
2.22433e-08,-0.6233
2.22665e-08,-0.4632
2.22898e-08,-0.1000
2.23131e-08,0.2084
2.23363e-08,0.4295
2.23596e-08,0.5750
2.23829e-08,0.6477
2.24061e-08,0.6614
2.24294e-08,0.6496
2.24527e-08,0.6408
2.24759e-08,0.6377
2.24992e-08,0.6391
2.25225e-08,0.6458
2.25457e-08,0.6621
2.25690e-08,0.6823
2.25923e-08,0.6963
2.26155e-08,0.6969
2.26388e-08,0.6803
2.26621e-08,0.6160
2.26853e-08,0.4385
2.27086e-08,0.0665
2.27319e-08,-0.2373
2.27551e-08,-0.4455
2.27784e-08,-0.5824
2.28017e-08,-0.6490
2.28249e-08,-0.6612
2.28482e-08,-0.6511
2.28715e-08,-0.6420
2.28947e-08,-0.6382
2.29180e-08,-0.6410
2.29413e-08,-0.6506
2.29645e-08,-0.6666
2.29878e-08,-0.6839
2.30111e-08,-0.6957
2.30343e-08,-0.6960
2.30576e-08,-0.6763
2.30809e-08,-0.6051
2.31041e-08,-0.4059
2.31274e-08,-0.0324
2.31507e-08,0.2593
2.31739e-08,0.4621
2.31972e-08,0.5987
2.32205e-08,0.6553
2.32437e-08,0.6593
2.32670e-08,0.6472
2.32903e-08,0.6396
2.33135e-08,0.6376
2.33368e-08,0.6398
2.33601e-08,0.6484
2.33833e-08,0.6661
2.34066e-08,0.6858
2.34299e-08,0.6975
2.34531e-08,0.6955
2.34764e-08,0.6711
2.34997e-08,0.5954
2.35229e-08,0.3727
2.35462e-08,-0.0024
2.35695e-08,-0.2818
2.35927e-08,-0.4783
2.36160e-08,-0.6041
2.36393e-08,-0.6545
2.36625e-08,-0.6596
2.36858e-08,-0.6491
2.37091e-08,-0.6406
2.37323e-08,-0.6381
2.37556e-08,-0.6422
2.37789e-08,-0.6535
